"Country","Schedule","Tax Base","Rates and thresholds","Year","Unit","PowerCode","Reference Period","Value","Flags"
"Austria","1","Monthly gross earnings","01 Upper threshold","2002",,"Units",,45780,
"Austria","1","Monthly gross earnings","01 Upper threshold","2003",,"Units",,47040,
"Austria","1","Monthly gross earnings","01 Upper threshold","2004",,"Units",,48300,
"Austria","1","Monthly gross earnings","01 Upper threshold","2005",,"Units",,50820,
"Austria","1","Monthly gross earnings","01 Upper threshold","2006",,"Units",,52500,
"Austria","1","Monthly gross earnings","01 Upper threshold","2007",,"Units",,53760,
"Austria","1","Monthly gross earnings","01 Upper threshold","2008",,"Units",,55020,
"Austria","1","Monthly gross earnings","01 Upper threshold","2009",,"Units",,5008.36,
"Austria","1","Monthly gross earnings","01 Upper threshold","2010",,"Units",,5128.62,
"Austria","1","Monthly gross earnings","01 Upper threshold","2011",,"Units",,5236.28,
"Austria","1","Monthly gross earnings","01 Upper threshold","2012",,"Units",,5267.64,
"Austria","1","Monthly gross earnings","01 Upper threshold","2013",,"Units",,5534.34,
"Austria","1","Monthly gross earnings","01 Upper threshold","2014",,"Units",,5534.34,
"Austria","1","Monthly gross earnings","01 Upper threshold","2015",,"Units",,5683.72,
"Austria","1","Monthly gross earnings","01 Upper threshold","2016",,"Units",,5820.08,
"Austria","1","Monthly gross earnings","01 Upper threshold","2017",,"Units",,5959.8,
"Austria","1","Monthly gross earnings","01 Upper threshold","2018",,"Units",,6132.7,
"Austria","1","Monthly gross earnings","01 Upper threshold","2019",,"Units",,6255.34,
"Austria","1","Monthly gross earnings","01 Upper threshold","2020",,"Units",,6449.24,
"Austria","1","Monthly gross earnings","01 Upper threshold","2021",,"Units",,6662.04,
"Austria","1","Monthly gross earnings","01 Upper threshold","2022",,"Units",,6801.9,
"Austria","1","Monthly gross earnings","02 Marginal rate","2009",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2010",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2011",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2012",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2013",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2014",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2015",,"Units",,15.057143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2016",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2017",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2018",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2019",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2020",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2021",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Marginal rate","2022",,"Units",,14.977143,
"Austria","1","Monthly gross earnings","02 Lower threshold","2009",,"Units",,5008.36,
"Austria","1","Monthly gross earnings","02 Lower threshold","2010",,"Units",,5128.62,
"Austria","1","Monthly gross earnings","02 Lower threshold","2011",,"Units",,5236.28,
"Austria","1","Monthly gross earnings","02 Lower threshold","2012",,"Units",,5267.64,
"Austria","1","Monthly gross earnings","02 Lower threshold","2013",,"Units",,5534.34,
"Austria","1","Monthly gross earnings","02 Lower threshold","2014",,"Units",,5534.34,
"Austria","1","Monthly gross earnings","02 Lower threshold","2015",,"Units",,5683.72,
"Austria","1","Monthly gross earnings","02 Lower threshold","2016",,"Units",,5820.08,
"Austria","1","Monthly gross earnings","02 Lower threshold","2017",,"Units",,5959.8,
"Austria","1","Monthly gross earnings","02 Lower threshold","2018",,"Units",,6132.7,
"Austria","1","Monthly gross earnings","02 Lower threshold","2019",,"Units",,6255.34,
"Austria","1","Monthly gross earnings","02 Lower threshold","2020",,"Units",,6449.24,
"Austria","1","Monthly gross earnings","02 Lower threshold","2021",,"Units",,6662.04,
"Austria","1","Monthly gross earnings","02 Lower threshold","2022",,"Units",,6801.9,
"Austria","1","Monthly gross earnings","02 Upper threshold","2009",,"Units",,15792,
"Austria","1","Monthly gross earnings","02 Upper threshold","2010",,"Units",,16170,
"Austria","1","Monthly gross earnings","02 Upper threshold","2011",,"Units",,16506,
"Austria","1","Monthly gross earnings","02 Upper threshold","2012",,"Units",,16604,
"Austria","1","Monthly gross earnings","02 Upper threshold","2013",,"Units",,17444,
"Austria","1","Monthly gross earnings","02 Upper threshold","2014",,"Units",,17444,
"Austria","1","Monthly gross earnings","02 Upper threshold","2015",,"Units",,17920,
"Austria","1","Monthly gross earnings","02 Upper threshold","2016",,"Units",,18354,
"Austria","1","Monthly gross earnings","02 Upper threshold","2017",,"Units",,18788,
"Austria","1","Monthly gross earnings","02 Upper threshold","2018",,"Units",,21203,
"Austria","1","Monthly gross earnings","02 Upper threshold","2019",,"Units",,23534,
"Austria","1","Monthly gross earnings","02 Upper threshold","2020",,"Units",,24262,
"Austria","1","Monthly gross earnings","02 Upper threshold","2021",,"Units",,25060,
"Austria","1","Monthly gross earnings","02 Upper threshold","2022",,"Units",,25592,
"Austria","1","Monthly gross earnings","03 Marginal rate","2009",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2010",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2011",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2012",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2013",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2014",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2015",,"Units",,16.057143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2016",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2017",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2018",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2019",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2020",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2021",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Marginal rate","2022",,"Units",,15.977143,
"Austria","1","Monthly gross earnings","03 Lower threshold","2009",,"Units",,15792,
"Austria","1","Monthly gross earnings","03 Lower threshold","2010",,"Units",,16170,
"Austria","1","Monthly gross earnings","03 Lower threshold","2011",,"Units",,16506,
"Austria","1","Monthly gross earnings","03 Lower threshold","2012",,"Units",,16604,
"Austria","1","Monthly gross earnings","03 Lower threshold","2013",,"Units",,17444,
"Austria","1","Monthly gross earnings","03 Lower threshold","2014",,"Units",,17444,
"Austria","1","Monthly gross earnings","03 Lower threshold","2015",,"Units",,17920,
"Austria","1","Monthly gross earnings","03 Lower threshold","2016",,"Units",,18354,
"Austria","1","Monthly gross earnings","03 Lower threshold","2017",,"Units",,18788,
"Austria","1","Monthly gross earnings","03 Lower threshold","2018",,"Units",,21203,
"Austria","1","Monthly gross earnings","03 Lower threshold","2019",,"Units",,23534,
"Austria","1","Monthly gross earnings","03 Lower threshold","2020",,"Units",,24262,
"Austria","1","Monthly gross earnings","03 Lower threshold","2021",,"Units",,25060,
"Austria","1","Monthly gross earnings","03 Lower threshold","2022",,"Units",,25592,
"Austria","1","Monthly gross earnings","03 Upper threshold","2009",,"Units",,17220,
"Austria","1","Monthly gross earnings","03 Upper threshold","2010",,"Units",,17640,
"Austria","1","Monthly gross earnings","03 Upper threshold","2011",,"Units",,18004,
"Austria","1","Monthly gross earnings","03 Upper threshold","2012",,"Units",,18116,
"Austria","1","Monthly gross earnings","03 Upper threshold","2013",,"Units",,19026,
"Austria","1","Monthly gross earnings","03 Upper threshold","2014",,"Units",,19026,
"Austria","1","Monthly gross earnings","03 Upper threshold","2015",,"Units",,19544,
"Austria","1","Monthly gross earnings","03 Upper threshold","2016",,"Units",,20020,
"Austria","1","Monthly gross earnings","03 Upper threshold","2017",,"Units",,20496,
"Austria","1","Monthly gross earnings","03 Upper threshold","2018",,"Units",,23128,
"Austria","1","Monthly gross earnings","03 Upper threshold","2019",,"Units",,25676,
"Austria","1","Monthly gross earnings","03 Upper threshold","2020",,"Units",,26474,
"Austria","1","Monthly gross earnings","03 Upper threshold","2021",,"Units",,27342,
"Austria","1","Monthly gross earnings","03 Upper threshold","2022",,"Units",,27916,
"Austria","1","Monthly gross earnings","04 Marginal rate","2009",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2010",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2011",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2012",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2013",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2014",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2015",,"Units",,17.057143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2016",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2017",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2018",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2019",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2020",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2021",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Marginal rate","2022",,"Units",,16.977143,
"Austria","1","Monthly gross earnings","04 Lower threshold","2009",,"Units",,17220,
"Austria","1","Monthly gross earnings","04 Lower threshold","2010",,"Units",,17640,
"Austria","1","Monthly gross earnings","04 Lower threshold","2011",,"Units",,18004,
"Austria","1","Monthly gross earnings","04 Lower threshold","2012",,"Units",,18116,
"Austria","1","Monthly gross earnings","04 Lower threshold","2013",,"Units",,19026,
"Austria","1","Monthly gross earnings","04 Lower threshold","2014",,"Units",,19026,
"Austria","1","Monthly gross earnings","04 Lower threshold","2015",,"Units",,19544,
"Austria","1","Monthly gross earnings","04 Lower threshold","2016",,"Units",,20020,
"Austria","1","Monthly gross earnings","04 Lower threshold","2017",,"Units",,20496,
"Austria","1","Monthly gross earnings","04 Lower threshold","2018",,"Units",,23128,
"Austria","1","Monthly gross earnings","04 Lower threshold","2019",,"Units",,25676,
"Austria","1","Monthly gross earnings","04 Lower threshold","2020",,"Units",,26474,
"Austria","1","Monthly gross earnings","04 Lower threshold","2021",,"Units",,27342,
"Austria","1","Monthly gross earnings","04 Lower threshold","2022",,"Units",,27916,
"Austria","1","Monthly gross earnings","04 Upper threshold","2009",,"Units",,19376,
"Austria","1","Monthly gross earnings","04 Upper threshold","2010",,"Units",,19838,
"Austria","1","Monthly gross earnings","04 Upper threshold","2011",,"Units",,20258,
"Austria","1","Monthly gross earnings","04 Upper threshold","2012",,"Units",,20384,
"Austria","1","Monthly gross earnings","04 Upper threshold","2013",,"Units",,21420,
"Austria","1","Monthly gross earnings","04 Upper threshold","2014",,"Units",,21420,
"Austria","1","Monthly gross earnings","04 Upper threshold","2015",,"Units",,21994,
"Austria","1","Monthly gross earnings","04 Upper threshold","2016",,"Units",,22526,
"Austria","1","Monthly gross earnings","04 Upper threshold","2017",,"Units",,23072,
"Austria","1","Monthly gross earnings","04 Upper threshold","2018",,"Units",,25508,
"Austria","1","Monthly gross earnings","04 Upper threshold","2019",,"Units",,27818,
"Austria","1","Monthly gross earnings","04 Upper threshold","2020",,"Units",,28686,
"Austria","1","Monthly gross earnings","04 Upper threshold","2021",,"Units",,29638,
"Austria","1","Monthly gross earnings","04 Upper threshold","2022",,"Units",,30254,
"Austria","1","Monthly gross earnings","05 Marginal rate","2009",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2010",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2011",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2012",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2013",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2014",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2015",,"Units",,18.057143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2016",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2017",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2018",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2019",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2020",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2021",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Marginal rate","2022",,"Units",,17.977143,
"Austria","1","Monthly gross earnings","05 Lower threshold","2009",,"Units",,19376,
"Austria","1","Monthly gross earnings","05 Lower threshold","2010",,"Units",,19838,
"Austria","1","Monthly gross earnings","05 Lower threshold","2011",,"Units",,20258,
"Austria","1","Monthly gross earnings","05 Lower threshold","2012",,"Units",,20384,
"Austria","1","Monthly gross earnings","05 Lower threshold","2013",,"Units",,21420,
"Austria","1","Monthly gross earnings","05 Lower threshold","2014",,"Units",,21420,
"Austria","1","Monthly gross earnings","05 Lower threshold","2015",,"Units",,21994,
"Austria","1","Monthly gross earnings","05 Lower threshold","2016",,"Units",,22526,
"Austria","1","Monthly gross earnings","05 Lower threshold","2017",,"Units",,23072,
"Austria","1","Monthly gross earnings","05 Lower threshold","2018",,"Units",,25508,
"Austria","1","Monthly gross earnings","05 Lower threshold","2019",,"Units",,27818,
"Austria","1","Monthly gross earnings","05 Lower threshold","2020",,"Units",,28686,
"Austria","1","Monthly gross earnings","05 Lower threshold","2021",,"Units",,29638,
"Austria","1","Monthly gross earnings","05 Lower threshold","2022",,"Units",,30254,
"Austria","1","Monthly gross earnings","05 Upper threshold","2009",,"Units",,56280,
"Austria","1","Monthly gross earnings","05 Upper threshold","2010",,"Units",,57540,
"Austria","1","Monthly gross earnings","05 Upper threshold","2011",,"Units",,58800,
"Austria","1","Monthly gross earnings","05 Upper threshold","2012",,"Units",,59220,
"Austria","1","Monthly gross earnings","05 Upper threshold","2013",,"Units",,63420,
"Austria","1","Monthly gross earnings","05 Upper threshold","2014",,"Units",,63420,
"Austria","1","Monthly gross earnings","05 Upper threshold","2015",,"Units",,65100,
"Austria","1","Monthly gross earnings","05 Upper threshold","2016",,"Units",,68040,
"Austria","1","Monthly gross earnings","05 Upper threshold","2017",,"Units",,69720,
"Austria","1","Monthly gross earnings","05 Upper threshold","2018",,"Units",,71820,
"Austria","1","Monthly gross earnings","05 Upper threshold","2019",,"Units",,73080,
"Austria","1","Monthly gross earnings","05 Upper threshold","2020",,"Units",,75180,
"Austria","1","Monthly gross earnings","05 Upper threshold","2021",,"Units",,77000,
"Austria","1","Monthly gross earnings","05 Upper threshold","2022",,"Units",,79380,
"Austria","1","Monthly gross earnings","Maximum contribution","2000",,"Units",,7936.656,
"Austria","1","Monthly gross earnings","Maximum contribution","2001",,"Units",,8157.0976,
"Austria","1","Monthly gross earnings","Maximum contribution","2002",,"Units",,8266.56,
"Austria","1","Monthly gross earnings","Maximum contribution","2003",,"Units",,8494.08,
"Austria","1","Monthly gross earnings","Maximum contribution","2004",,"Units",,8697.45,
"Austria","1","Monthly gross earnings","Maximum contribution","2005",,"Units",,9176.64,
"Austria","1","Monthly gross earnings","Maximum contribution","2006",,"Units",,9480,
"Austria","1","Monthly gross earnings","Maximum contribution","2007",,"Units",,9707.52,
"Austria","1","Monthly gross earnings","Maximum contribution","2008",,"Units",,9935.04,
"Austria","1","Monthly gross earnings","Maximum contribution","2009",,"Units",,10162.56,
"Austria","1","Monthly gross earnings","Maximum contribution","2010",,"Units",,10390.08,
"Austria","1","Monthly gross earnings","Maximum contribution","2011",,"Units",,10617.6,
"Austria","1","Monthly gross earnings","Maximum contribution","2012",,"Units",,10693.44,
"Austria","1","Monthly gross earnings","Maximum contribution","2013",,"Units",,11451.84,
"Austria","1","Monthly gross earnings","Maximum contribution","2014",,"Units",,11451.84,
"Austria","1","Monthly gross earnings","Maximum contribution","2015",,"Units",,11755.2,
"Austria","1","Monthly gross earnings","Maximum contribution","2016",,"Units",,12231.648,
"Austria","1","Monthly gross earnings","Maximum contribution","2017",,"Units",,12533.664,
"Austria","1","Monthly gross earnings","Maximum contribution","2018",,"Units",,12911.184,
"Austria","1","Monthly gross earnings","Maximum contribution","2019",,"Units",,13137.696,
"Austria","1","Monthly gross earnings","Maximum contribution","2020",,"Units",,13515.216,
"Austria","1","Monthly gross earnings","Maximum contribution","2021",,"Units",,13842.4,
"Austria","1","Monthly gross earnings","Maximum contribution","2022",,"Units",,14270.256,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2000",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2001",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2002",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2003",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2004",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2005",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2006",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2007",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2008",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2009",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2010",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2011",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2012",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2013",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2014",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2015",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2016",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2017",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2018",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2019",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2020",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2021",,"Units",,100,
"Austria","1","Monthly gross earnings","% of payment given as relief from personal income tax","2022",,"Units",,100,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2000",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2001",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2002",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2003",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2004",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2005",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2006",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2007",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2008",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2009",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2010",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2011",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2012",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2013",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2014",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2015",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2016",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2017",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2018",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2019",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2020",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2021",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","01 Marginal rate","2022",,"Units",,13.07,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2000",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2001",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2002",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2003",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2004",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2005",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2006",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2007",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2008",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2009",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2010",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2011",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2012",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2013",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2014",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2015",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2016",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2017",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2018",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2019",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2020",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2021",,"Units",,100,
"Belgium","1","Monthly gross earnings","% of payment given as relief from personal income tax","2022",,"Units",,100,
"Canada","1","Annual gross earnings","01 Marginal rate","2000",,"Units",,2.4,
"Canada","1","Annual gross earnings","01 Marginal rate","2001",,"Units",,2.25,
"Canada","1","Annual gross earnings","01 Marginal rate","2002",,"Units",,2.2,
"Canada","1","Annual gross earnings","01 Marginal rate","2003",,"Units",,2.1,
"Canada","1","Annual gross earnings","01 Marginal rate","2004",,"Units",,1.98,
"Canada","1","Annual gross earnings","01 Marginal rate","2005",,"Units",,1.95,
"Canada","1","Annual gross earnings","01 Marginal rate","2006",,"Units",,1.87,
"Canada","1","Annual gross earnings","01 Marginal rate","2007",,"Units",,1.8,
"Canada","1","Annual gross earnings","01 Marginal rate","2008",,"Units",,1.73,
"Canada","1","Annual gross earnings","01 Marginal rate","2009",,"Units",,1.73,
"Canada","1","Annual gross earnings","01 Marginal rate","2010",,"Units",,1.73,
"Canada","1","Annual gross earnings","01 Marginal rate","2011",,"Units",,1.78,
"Canada","1","Annual gross earnings","01 Marginal rate","2012",,"Units",,1.83,
"Canada","1","Annual gross earnings","01 Marginal rate","2013",,"Units",,1.88,
